id,en,zh,ja,ko,ru,fr
file,file,文件,ファイル,파일,файл,fichier
project,project,项目,プロジェクト,프로젝트,проект,projet
scene,scene,场景,シーン,장면,сцена,scène
background,background,背景,背景,배경,фон,fond
music,music,音乐,音楽,음악,музыка,musique
sound,sound,音效,効果音,효과음,звуковые эффекты,effet sonore
character,character,角色,キャラクター,캐릭터,персонаж,personnage
text,text,文本,テキスト,텍스트,текст,texte
talk,talk,对话,会話,대화,диалог,dialogue
talk list,talk list,对话列表,会話リスト,대화 목록,список диалогов,liste de dialogues
fix,fix,固定,固定,고정,фиксированный,fixe
save,save,保存,セーブ,저장,сохранить,sauvegarder
load,load,读取,ロード,불러오기,загрузить,charger
system,system,系统,システム,시스템,система,système
Qsave,Qsave,快速保存,クイックセーブ,빠른 저장,быстрое сохранение,sauvegarde rapide
Qload,Qload,快速读取,クイックロード,빠른 불러오기,быстрая загрузка,chargement rapide
prev scene,prev scene,上个场景,前のシーン,이전 장면,предыдущая сцена,scène précédente
next scene,next scene,下个场景,次のシーン,다음 장면,следующая сцена,scène suivante
quick rollback,quick rollback,快速回退,クイックロールバック,빠른 되감기,быстрая откатка,retour rapide
rollback,rollback,回退,ロールバック,되감기,откатка,retour
auto,auto,自动,オート,자동,авто,auto
quick auto,quick auto,快速自动,クイックオート,빠른 자동,быстрый авто,auto rapide
story tree,story tree,故事树,ストーリーツリー,스토리 트리,дерево истории,arbre de l'histoire
volume,volume,音量,ボリューム,음량,громкость,volume
replay,replay,重播,リプレイ,다시보기,повтор,rejouer
favorite,favorite,收藏,お気に入り,즐겨찾기,избранное,favori
hide,hide,隐藏,非表示,숨기기,скрыть,cacher
debug,debug,调试,デバッグ,디버그,отладка,débogage
